canonical_model_key,quant,repos,downloads
distilbert-base-cased,none,1,301
distilbert-base-uncased,none,4,86
distilroberta-base,none,1,0
doctor-kunou-72b-abliterated,q2,2,6299
dogge-llama-3-70b-instruct-uncensored-lora-f16-k-m,q5,1,62
dolllikeness-japanese-v10,none,1,0
dolphin-2-9-2-phi-3-medium-abliterated,bf16,1,984
dolphin-2-9-2-phi-3-medium-abliterated,int4,1,1
dolphin-2-9-2-phi-3-medium-abliterated,int8,1,2
dolphin-2-9-2-phi-3-medium-abliterated,none,4,16
dolphin-2-9-2-phi-3-medium-abliterated,q2,3,1510
dolphin-2-9-2-phi-3-medium-abliterated,q3,1,0
dolphin-2-9-2-phi-3-medium-abliterated,q4,2,8
dolphin-2-9-2-phi-3-medium-abliterated-xs,q2,1,37
dolphin-2-9-3-mistral-nemo-12b,none,1,19
dolphin-2-9-4-llama3-1-8b,q4,1,63
dolphin-2-9-llama3-8b,bf16,1,3461
dolphin-2-9-llama3-8b,none,3,18
dolphin-mistral-24b-venice-edition,none,1,30381
dolphin3-0-llama3-1-1b-abliterated,bf16,1,45
dolphin3-0-llama3-1-1b-abliterated,none,1,6
dolphin3-0-llama3-1-1b-abliterated,q2,2,172
dolphin3-0-llama3-1-8b,none,1,22
dolphin3-0-llama3-1-8b-abliterated,q2,2,502
dolphin3-0-llama3-1-8b-abliterated,q4,2,11
dolphin3-0-llama3-1-8b-abliterated,q5,2,7
dolphin3-0-llama3-1-8b-abliterated,q6,1,21
dolphin3-0-llama3-1-8b-abliterated,q8,1,5
dolphin3-0-llama3-2-1b,none,2,62
dolphin3-0-llama3-2-3b,none,1,4
dolphin3-0-qwen2-5-0-5b,none,1,61
dolphin3-0-r1-mistral-24b,none,2,18
dolphin3-0-r1-mistral-24b-abliterated,q2,3,526
dolphin3-0-r1-mistral-24b-abliterated,q3,3,22
dolphin3-0-r1-mistral-24b-abliterated,q4,1,15
dolphin3-0-r1-mistral-24b-abliterated,q5,2,28
dolphin3-0-r1-mistral-24b-abliterated,q6,1,5
dolphin3-0-r1-mistral-24b-abliterated,q8,1,18
doujinshi-14b-roleplay,q2,2,0
doujinshi-14b-roleplay,q4,1,0
dp-roleplay,q2,1,32
dp-roleplay-v3,q2,2,358
dpo-roleplay,none,2,6
dracarys2-72b-instruct,none,1,6
drakidol-roleplayer-1,q2,2,1864
drakidol-roleplayer-1,q6,1,13
drakidol-roleplayer-1,q8,1,24
dria-agent-a-3b,none,1,3
dria-agent-a-3b-abliterated,fp16,1,20
dria-agent-a-3b-abliterated,q2,3,289
dria-agent-a-3b-abliterated,q4,2,177
dria-agent-a-3b-abliterated,q5,2,12
dria-agent-a-3b-abliterated,q6,1,7
dria-agent-a-3b-abliterated,q8,1,8
dria-agent-a-7b,none,1,12
dria-agent-a-7b-abliterated,fp16,1,8
dria-agent-a-7b-abliterated,q2,2,526
dria-agent-a-7b-abliterated,q4,2,14
dria-agent-a-7b-abliterated,q5,2,17
dria-agent-a-7b-abliterated,q6,1,5
dria-agent-a-7b-abliterated,q8,1,9
drmedra4b-152656-abliterated,q2,2,551
drmedra4b-179916-abliterated,q2,2,0
drmedra4b-abliterated,q2,2,798
ds-v2-grnd-hrrr-smb-r1-l3-1-uncn-16-5b-d-au-xs,q2,1,491
dsir-pile-1m-filtered-no-github-or-dm-mathematics,none,1,0
dukunlm-13b-v1-0-uncensored,q2,2,968
early-unlearning-unfiltered-ga-1-in-209-ga-lr-scale-0-001-gclip-1,none,2,123
ehartford-wizardlm-1-0-uncensored-llama2-13b-k-s,q2,1,24
eidolon-v3-14b-abliterated,q2,2,25
eidolon-v3-14b-abliterated,q4,1,3
electra-base-discriminator,none,1,7
elita-0-1-distilled-r1-abliterated,q2,4,1192
elysium-anime-v2-0-7-cafe-instagram-unofficial-test-epoch-9-140k-images-0-7-suisecovaried-0-3-weighted-sum-merged-0-3-weighted-sum-merged,fp32,1,0
embeddings,bf16,3,1793
esm2-t6-8m-ur50d,none,1,14
eva-abliterated-qwen2-5-7b,fp16,1,12
eva-abliterated-qwen2-5-7b,q2,2,815
eva-abliterated-qwen2-5-7b,q4,2,14
eva-abliterated-qwen2-5-7b,q5,2,10
eva-abliterated-qwen2-5-7b,q6,1,3
eva-abliterated-qwen2-5-7b,q8,1,6
eva-abliterated-ties-qwen2-5-1-5b,fp16,1,7
eva-abliterated-ties-qwen2-5-1-5b,q2,2,368
eva-abliterated-ties-qwen2-5-1-5b,q4,2,10
eva-abliterated-ties-qwen2-5-1-5b,q5,2,7
eva-abliterated-ties-qwen2-5-1-5b,q6,1,5
eva-abliterated-ties-qwen2-5-1-5b,q8,1,3
eva-abliterated-ties-qwen2-5-14b,q2,2,495
eva-abliterated-ties-qwen2-5-72b,none,1,1
eva-abliterated-ties-qwen2-5-72b,q2,2,382
eva-llama-3-33-70b-v0-1,none,4,19
eva-qwen2-5-1-5b-v0,none,1,6
eva-qwen2-5-14b-v0-2,none,1,8
eva-qwen2-5-32b-v0-2,none,2,14
eva-qwen2-5-72b-v0-2,none,1,6
eva-qwen2-5-7b-v0-1,none,1,6
evolved-llama3-elyza-uncensored-8b,q2,2,439
evolved-llama3-elyza-uncensored-8b-xs,q2,1,118
exaone-3-5-2-4b-instruct,none,1,896
exaone-3-5-2-4b-instruct-abliterated,bf16,1,180
exaone-3-5-2-4b-instruct-abliterated,none,1,2
exaone-3-5-2-4b-instruct-abliterated,q2,3,731
exaone-3-5-2-4b-instruct-abliterated,q4,3,28
exaone-3-5-2-4b-instruct-abliterated,q8,2,4
exaone-3-5-32b-instruct,none,1,2163
exaone-3-5-32b-instruct-abliterated,none,2,30
exaone-3-5-32b-instruct-abliterated,q2,3,1193
exaone-3-5-32b-instruct-abliterated,q4,1,16
exaone-3-5-7-8b-instruct,none,1,68
exaone-3-5-7-8b-instruct-abliterated,q2,3,470
exaone-3-5-7-8b-instruct-abliterated,q3,1,119
exaone-3-5-7-8b-instruct-abliterated,q4,2,13
exaone-4-0-1-2b,none,1,59
exaone-4-0-32b,none,1,76
exaone-deep-2-4b,none,1,49
exaone-deep-7-8b,none,1,262
excalibur-7b-dpo,none,1,10
excalibur-7b-dpo,q4,1,27
faiss-index,none,1,0
falcon-h1-34b-instruct-abliterated,q2,2,630
falcon3-10b-instruct,none,1,13
falcon3-10b-instruct-abliterated,none,4,31
falcon3-10b-instruct-abliterated,q2,4,913
falcon3-10b-instruct-abliterated,q4,3,11
falcon3-10b-instruct-abliterated,q5,2,15
falcon3-10b-instruct-abliterated,q6,1,5
falcon3-10b-instruct-abliterated,q8,1,3
falcon3-1b-instruct,none,1,11
falcon3-1b-instruct-abliterated,q2,3,464
falcon3-1b-instruct-abliterated,q4,3,18
falcon3-1b-instruct-abliterated,q5,2,13
falcon3-1b-instruct-abliterated,q6,1,2
falcon3-1b-instruct-abliterated,q8,1,2
falcon3-3b-instruct,none,1,669
falcon3-3b-instruct-abliterated,q2,3,594
falcon3-3b-instruct-abliterated,q4,3,18
falcon3-3b-instruct-abliterated,q5,2,16
falcon3-3b-instruct-abliterated,q6,1,3
falcon3-3b-instruct-abliterated,q8,1,8
falcon3-7b-instruct,none,1,12
falcon3-7b-instruct-abliterated,none,1,2
falcon3-7b-instruct-abliterated,q2,4,1098
falcon3-7b-instruct-abliterated,q4,4,25
falcon3-7b-instruct-abliterated,q5,2,7
falcon3-7b-instruct-abliterated,q6,1,2
falcon3-7b-instruct-abliterated,q8,1,11
falcon3-jessi-v0-4-7b-slerp,none,1,4
falcon7b-train-sendswap,none,1,0
falcon7bintent,none,1,0
fastthink-0-5b-tiny,none,1,7
fastthink-0-5b-tiny-abliterated,q2,1,1186
fastycall-model,none,1,0
filter-non-expertuser,none,1,15
fine-tuned-bge-reranker,none,1,0
fino1-8b,none,1,4
fino1-8b-uncensored-delmat,q2,2,320
fireball-r1-llama-3-1-8b,none,1,4
fireball-r1-llama-3-1-8b-freedom-9000,q2,2,201
first,none,1,0
fluentlylm-prinum,none,1,5
fluentlylm-prinum-abliterated,q2,2,1249
flux-1-dev,nf4,1,0
flux-1-dev,none,1,16
forgotten-abomination-70b-v5,none,1,5
forgotten-safeword-24b-v3,none,1,1
foundation-sec-8b,none,1,45
foundation-sec-8b-abliterated,q2,1,64
foundation-sec-8b-abliterated,q4,1,3
fred,none,1,0
free-best-roleplay-ai-chat-bots,none,1,0
freedelahoya,none,1,0
freedom,none,5,0
freedom-bluemoon-merged-rp,none,1,0
freedom-coaching,none,1,0
freedom-vs-safety-notebook,none,1,0
freedomintelligence-acegpt-13b-chat-k-s,q2,1,15
freedomintelligence-acegpt-7b-chat-k-s,q2,1,0
freedomintelligence-acegpt-7b-k-s,q2,1,25
freedomintelligence-acegpt-7b-smashed,none,1,0
freedomintelligence-acegpt-v2-70b,none,1,0
freedomintelligence-acegpt-v2-70b-chat,none,1,0
freedomintelligence-apollo-0-5b,none,1,0
freedomplug-lora,none,1,0
freedomredmond-v1,none,1,0
freedrag,none,1,0
fusechat-3-2-1b-creative-rp,none,1,3
fuseo1-deepseekr1-qwq-skyt1-32b-preview,none,1,5
fusetrix-dolphin-3-2-1b-grpo-creative-rp,q2,1,1455
g3-12b-it-unalign,q6,2,2
gemma-2-27b-it,none,1,2227
gemma-2-27b-it-abliterated,none,4,285
gemma-2-27b-it-abliterated,q2,5,1055
gemma-2-27b-it-abliterated,q3,2,5
gemma-2-27b-it-abliterated,q4,2,87
gemma-2-27b-it-abliterated,q5,1,5
gemma-2-27b-it-abliterated-xs,q2,1,115
gemma-2-2b,none,1,49
gemma-2-2b-adaptor-jailbreak,none,1,0
gemma-2-2b-it,q2,1,1669
gemma-2-2b-it-abliterated,none,10,38
gemma-2-2b-it-abliterated,q2,4,2232
gemma-2-2b-it-abliterated,q4,4,142
gemma-2-2b-it-abliterated,q5,4,33
gemma-2-2b-it-abliterated,q8,3,21
gemma-2-2b-it-abliterated-k,q4,1,17
gemma-2-2b-it-abliterated-k-l,q2,1,36
gemma-2-2b-it-abliterated-xs,q2,1,49
gemma-2-2b-it-unaligned,q2,1,166
gemma-2-2b-jpn-it,none,8,61
gemma-2-2b-jpn-it,q2,1,3
gemma-2-2b-jpn-it-abliterated-17,q2,2,304
gemma-2-2b-jpn-it-abliterated-17-orpo,q2,2,221
gemma-2-2b-jpn-it-abliterated-17-orpo-alpaca,q8,1,2
gemma-2-2b-jpn-it-abliterated-17-orpo-nl,q2,1,21
gemma-2-2b-jpn-it-abliterated-18,q2,2,3814
gemma-2-2b-jpn-it-abliterated-18-nl,q2,1,20
gemma-2-2b-jpn-it-abliterated-18-orpo,q2,2,268
gemma-2-2b-jpn-it-abliterated-18-orpo-xs,q2,1,34
gemma-2-2b-jpn-it-abliterated-24,q2,2,353
gemma-2-2b-orpo-jpn-it-abliterated-18,q2,2,390
gemma-2-2b-orpo-jpn-it-abliterated-18-merge,q2,2,595
gemma-2-9b,none,1,19
gemma-2-9b-bnb,bf16,1,85
gemma-2-9b-chinese-chat,bf16,2,2219
gemma-2-9b-chinese-chat,none,1,232
gemma-2-9b-it,none,3,469
gemma-2-9b-it-abliterated,int4,1,2
gemma-2-9b-it-abliterated,none,16,1903
gemma-2-9b-it-abliterated,q2,3,2806
gemma-2-9b-it-abliterated,q3,1,1
gemma-2-9b-it-abliterated,q4,5,20
gemma-2-9b-it-abliterated,q5,1,18
gemma-2-9b-it-abliterated,q8,1,11
gemma-2-9b-it-abliterated-k-l,q2,1,34
gemma-2-9b-it-abliterated-untied,none,2,2
gemma-2-9b-it-abliterated-xs,q2,1,57
gemma-2-9b-it-uncensored-delmat,q2,2,296
gemma-2-9b-it-with-deeper-safety-alignment-xs,q2,1,26
gemma-2-9b-uncensored,q2,2,565
gemma-2-abliterated-ifable-9b,q2,2,199
gemma-2-abliterated-ifable-9b,q4,1,2
gemma-2-abliterated-ifable-9b-untied,q2,2,535
gemma-2-abliterated-ifable-9b-untied,q4,1,6
gemma-2-ataraxy-9b-abliterated,none,1,5
gemma-2-ifable-9b,none,1,3
gemma-2-ifable-9b-abliteration-improved,none,1,1
gemma-2-ifable-9b-uncensored-delmat,q2,2,739
gemma-2-ifable-9b-untied,none,1,36
gemma-2-ifable-abliterated-9b-untied,q2,2,212
gemma-2-ifable-abliterated-9b-untied,q4,2,36
gemma-2-jailbreak,none,1,127
gemma-2b,none,2,4
gemma-2b-bnb,none,1,2
gemma-2b-it,none,3,1519
gemma-3-12b-it,bf16,1,3449
gemma-3-12b-it,none,6,4361
gemma-3-12b-it,q2,2,278
gemma-3-12b-it-abliterated,bf16,1,1415
gemma-3-12b-it-abliterated,none,2,78
gemma-3-12b-it-abliterated,q2,4,5263
gemma-3-12b-it-abliterated,q3,3,48
gemma-3-12b-it-abliterated,q4,9,177
gemma-3-12b-it-abliterated,q5,2,20
gemma-3-12b-it-abliterated,q6,2,30
gemma-3-12b-it-abliterated,q8,2,27
gemma-3-12b-it-abliterated-but-attn-k-is,bf16,1,20
gemma-3-12b-it-abliterated-v2,none,5,979
gemma-3-12b-it-abliterated-v2,q2,5,29349
gemma-3-12b-it-abliterated-v2,q4,2,26
gemma-3-12b-it-abliterated-v2,q5,2,27
gemma-3-12b-it-abliterated-v2,q6,1,75
gemma-3-12b-it-abliterated-v2,q8,1,32
gemma-3-12b-it-qat-0-unquantized,q2,1,425
gemma-3-12b-it-qat-0-unquantized,q4,1,16
gemma-3-12b-it-qat-abliterated,q2,3,1302
gemma-3-12b-it-uncensored,q2,2,3786
gemma-3-12b-it-unsloth-bnb,none,1,0
gemma-3-1b,none,4,0
gemma-3-1b-abliterated,q2,2,71
gemma-3-1b-it,none,4,1966
gemma-3-1b-it-abliterated,bf16,2,1688
gemma-3-1b-it-abliterated,fp16,1,44
gemma-3-1b-it-abliterated,none,10,1465
gemma-3-1b-it-abliterated,q2,6,4743
gemma-3-1b-it-abliterated,q4,4,61
gemma-3-1b-it-abliterated,q5,2,9
gemma-3-1b-it-abliterated,q6,2,12
gemma-3-1b-it-abliterated,q8,2,51
gemma-3-1b-it-abliterated-grpo,q2,1,101
gemma-3-1b-it-abliterated-grpo,q4,1,43
gemma-3-1b-it-abliterated-k,q4,1,53
gemma-3-1b-it-abliterated-v2,q2,2,156
gemma-3-1b-it-qat-0-unquantized,q2,1,370
gemma-3-1b-it-qat-0-unquantized,q4,1,41
gemma-3-1b-it-qat-abliterated,q2,1,113
gemma-3-1b-it-qat-abliterated,q4,1,56
gemma-3-1b-it-qat-abliterated,q8,1,21
gemma-3-270m,q8,1,3502
gemma-3-270m-it,none,1,299
gemma-3-270m-it,q2,1,113
gemma-3-27b-it,none,7,10463
gemma-3-27b-it,q2,2,22933
gemma-3-27b-it-abliterated,bf16,1,6318
gemma-3-27b-it-abliterated,none,16,893
gemma-3-27b-it-abliterated,q2,5,5070
gemma-3-27b-it-abliterated,q3,3,9
gemma-3-27b-it-abliterated,q4,7,320
gemma-3-27b-it-abliterated,q5,3,34
gemma-3-27b-it-abliterated,q6,3,300
gemma-3-27b-it-abliterated,q8,3,324
gemma-3-27b-it-abliterated-k-xl,q8,1,214
gemma-3-27b-it-abliterated-v2,none,1,314
gemma-3-27b-it-abliterated-v2,q2,3,2345
gemma-3-27b-it-qat-0-unquantized,q2,1,751
gemma-3-27b-it-qat-0-unquantized,q4,1,108
gemma-3-27b-it-qat-abliterated,q2,2,1381
gemma-3-27b-it-uncensored,none,1,5
gemma-3-27b-it-uncensored,q2,2,1886
gemma-3-27b-it-uncensored,q4,1,24
gemma-3-4b-abliterated,q2,1,164
gemma-3-4b-it,fp16,1,1165
gemma-3-4b-it,none,7,7147
gemma-3-4b-it,q2,1,1983
gemma-3-4b-it-abliterated,bf16,2,2254
gemma-3-4b-it-abliterated,none,8,522
gemma-3-4b-it-abliterated,q2,4,4294
gemma-3-4b-it-abliterated,q3,1,13
gemma-3-4b-it-abliterated,q4,7,109
gemma-3-4b-it-abliterated,q5,3,20
gemma-3-4b-it-abliterated,q6,2,17
gemma-3-4b-it-abliterated,q8,3,42
gemma-3-4b-it-abliterated-k,q4,1,120
gemma-3-4b-it-abliterated-v1,q2,1,9
gemma-3-4b-it-abliterated-v2,q2,5,2506
gemma-3-4b-it-qat-0-unquantized,q2,1,157
gemma-3-4b-it-qat-0-unquantized,q4,2,75
gemma-3-4b-it-qat-abliterated,q2,2,518
gemma-3-4b-it-qat-quantized-inference-unrestricted-weights-only-sf,int4,1,71
gemma-3-4b-it-qat-unsloth-bnb,none,1,6
gemma-3-4b-it-uncensored,q2,2,729
gemma-3-4b-it-uncensored-dbl-x,q2,4,13935
gemma-3-4b-it-uncensored-dbl-x,q4,4,146
gemma-3-4b-it-uncensored-dbl-x,q5,2,20
gemma-3-4b-it-uncensored-dbl-x,q6,1,14
gemma-3-4b-it-uncensored-dbl-x,q8,1,56
gemma-3-4b-it-uncensored-v2,q2,2,563
gemma-3-4b-novision,none,1,6
gemma-3-4b-persian-v0-abliterated,q2,1,1314
gemma-3-4b-persian-v0-abliterated,q8,1,13
gemma-3-glitter-4b-uncensored,q2,2,668
gemma-3n-e2b-it,none,1,55
gemma-3n-e4b-it,none,1,152
gemma-7b-it,none,2,13
gemma-bloom-2-9b-it,none,1,3
gemma-bloom-2-9b-it-uncensored-delmat,q2,2,310
gemma-roleplay,q2,2,248
gemma-the-writer-n-restless-quill-10b-d-au,q8,1,5
gemma-the-writer-n-restless-quill-10b-d-au-xs,q4,1,5
gemma-the-writer-n-restless-quill-10b-uncensored,q2,3,16282
gemma-the-writer-n-restless-quill-v2-enhanced32-10b-uncensored,q2,3,1865
gemma2-2b-spanish-roleplay,q2,1,50
gemma2-2b-spanish-roleplay-k-m,bf16,1,1063
gemma2-2b-spanish-roleplay-xs,q2,1,8
gemma2-ifable-abliterated-merge,q2,2,231
gemma2-ifable-abliterated-merge,q4,1,3
gemma2-magnum-abliterated-27b,q2,2,223
gemma2-magnum-abliterated-27b,q4,1,5
gemma2-magnum-abliterated-27b,q5,1,3
gemma2-magnum-abliterated-27b,q8,1,3
gemma3-1b-it-abliterated-v2,q2,1,381
gemma3-27b-abliterated-dpo,none,7,32
gemma3-27b-abliterated-dpo,q2,2,2849
gemma3-4b-it-abliterated,q2,2,2479
genshin-impact-aya-plot-chat-roleplay,q4,1,1
genshin-impact-mistral-v3-plot-chat-roleplay-chat-merged,q2,1,197
georgesung-llama2-7b-chat-uncensored-bnb-smashed,none,1,5
georgesung-llama2-7b-chat-uncensored-hqq-1bit-smashed,none,1,7
georgesung-llama2-7b-chat-uncensored-hqq-smashed,none,1,9
georgesung-llama2-7b-chat-uncensored-quanto-int8bit-smashed,int8,1,2
georgesung-open-llama-7b-qlora-uncensored-k-l,q2,1,95
ggml-ehartford-wizardlm-uncensored-falcon-40b-k-l,q2,1,562
ggml-ehartford-wizardlm-uncensored-falcon-7b,q2,1,355
ggml-llama-3-8b-instruct-bluemoon-freedom-rp,q8,1,4
ggml-llama-3-8b-instruct-bluemoon-freedom-rp-k-m,q4,1,7
ggml-model-f16,none,1,29
gigachat-20b-a3b-instruct-v1-5-abliterated,q2,2,1436
glm-4-1v-9b-thinking,none,1,163
glm-4-32b-0414,none,1,4
glm-4-32b-0414-abliterated,q2,2,5311
glm-4-32b-0414-abliterated,q4,1,17
glm-4-32b-0414-abliterated,q5,3,47
glm-4-32b-0414-abliterated,q6,1,10
glm-4-32b-0414-abliterated,q8,3,28
glm-4-5-air,q3,2,5274
glm-4-5v,none,1,94
glm-4-9b-0414,none,1,3
glm-4-9b-0414-abliterated,bf16,1,453
glm-4-9b-0414-abliterated,none,1,0
glm-4-9b-0414-abliterated,q2,1,251
glm-4-9b-0414-abliterated,q3,1,3
glm-4-9b-0414-abliterated,q4,3,29
glm-4-9b-0414-abliterated,q5,2,12
glm-4-9b-0414-abliterated,q6,2,255
glm-4-9b-0414-abliterated,q8,3,29
glm-4-9b-chat,none,1,14
glm-4-9b-chat,q2,1,143
glm-4-9b-chat-abliterated,q2,3,1506
glm-4-9b-chat-abliterated,q4,1,18
glm-4-9b-chat-abliterated,q6,1,39
glm-4-9b-chat-abliterated-xs,q2,1,52
glm-z1-32b-0414-abliterated,q2,2,755
glm-z1-9b-0414,bf16,1,113
glm-z1-9b-0414,none,1,2
glm-z1-9b-0414-abliterated,none,2,94
glm-z1-9b-0414-abliterated,q2,1,52
glm-z1-9b-0414-abliterated,q4,3,24
glm-z1-9b-0414-abliterated,q5,2,23
glm-z1-9b-0414-abliterated,q6,2,22
glm-z1-9b-0414-abliterated,q8,2,12
global-step-120-extra-state-world-size-32-rank-10,none,1,0
global-step-140-model-00001-of-00012,none,1,0
global-step-160-extra-state-world-size-24-rank-10,none,1,0
global-step-160-model-00001-of-00012,none,1,0
global-step-200-model-00001-of-00007,none,1,0
global-step-200-model-00001-of-00012,none,1,0
gmail-agent,none,1,0
gpt-j-6b,none,1,0
gpt-oss-120b,bf16,2,1200
gpt-oss-120b,none,1,141
gpt-oss-120b-uncensored,bf16,2,24372
gpt-oss-120b-uncensored-mxfp4,q4,1,636
gpt-oss-120b-uncensored-mxfp4,q5,1,850
gpt-oss-120b-uncensored-mxfp4,q6,1,592
gpt-oss-20b,bf16,3,1260
gpt-oss-20b,none,2,1633
gpt-oss-20b-k-m,q4,1,52
gpt-oss-20b-uncensored,bf16,5,49262
gpt-oss-20b-uncensored-k-m,bf16,1,121
gpt-oss-20b-uncensored-mxfp4,bf16,1,453
gpt-oss-20b-uncensored-mxfp4,q4,2,6861
gpt-oss-20b-uncensored-mxfp4,q5,1,434
gpt-oss-20b-uncensored-mxfp4,q6,1,326
gpt-oss-20b-uncensored-mxfp4,q8,1,708
gpt-oss-20b-unsloth-bnb,none,1,51
gpt-oss-26b-abliterated-preview,q2,2,10013
gpt-oss-26b-abliterated-preview,q4,1,199
gpt-oss-26b-abliterated-preview,q8,1,219
gpt4all-lora-unfiltered-quantized,none,2,0
gpt4xalpacarplorav2,none,2,59
gptossuncensor20blora,none,1,45
gram-qwen3-4b-rewardmodel,none,1,52
granite-3-1-2b-instruct,none,1,10
granite-3-1-2b-instruct-abliterated,q2,3,411
granite-3-1-2b-instruct-abliterated,q4,2,15
granite-3-1-2b-instruct-abliterated,q5,2,12
granite-3-1-2b-instruct-abliterated,q6,1,5
granite-3-1-2b-instruct-abliterated,q8,1,3
granite-3-1-8b-instruct,none,1,11
granite-3-1-8b-instruct-abliterated,none,1,3
granite-3-1-8b-instruct-abliterated,q2,3,561
granite-3-1-8b-instruct-abliterated,q4,3,31
granite-3-1-8b-instruct-abliterated,q5,2,28
granite-3-1-8b-instruct-abliterated,q6,1,6
granite-3-1-8b-instruct-abliterated,q8,1,6
granite-3-2-2b-instruct,none,1,5
granite-3-2-2b-instruct-abliterated,fp16,1,19
granite-3-2-2b-instruct-abliterated,q2,2,155
granite-3-2-2b-instruct-abliterated,q4,2,11
granite-3-2-2b-instruct-abliterated,q5,2,3
granite-3-2-2b-instruct-abliterated,q6,1,7
granite-3-2-2b-instruct-abliterated,q8,1,8
granite-3-2-8b-instruct,none,1,19
granite-3-2-8b-instruct-abliterated,fp16,1,25
granite-3-2-8b-instruct-abliterated,none,1,7
granite-3-2-8b-instruct-abliterated,q2,3,347
granite-3-2-8b-instruct-abliterated,q4,2,15
granite-3-2-8b-instruct-abliterated,q5,2,22
granite-3-2-8b-instruct-abliterated,q8,1,15
granite-3-3-2b-instruct,none,1,3
granite-3-3-8b-instruct,none,1,1
granite-3-3-8b-instruct-abliterated,bf16,1,174
granite-3-3-8b-instruct-abliterated,q2,2,575
granite-embedding-278m-multilingual-rejection,none,1,0
granite-vision-3-2-2b,none,1,28
granite-vision-3-2-2b-abliterated,q2,1,766
grogros-dmwm-llama-3-1b-harm-harmdata-al4-owt-d4-a0-25-learnability-adv,q6,1,12
guanaco-13b-uncensored,none,3,31
guanaco-13b-uncensored,q2,3,1503
guanaco-13b-uncensored-1,q5,1,6
guanaco-13b-uncensored-k-l,q2,1,64
guanaco-3b-uncensored,q2,1,132
guanaco-3b-uncensored,q5,1,17
guanaco-3b-uncensored-v2,none,1,1099
guanaco-3b-uncensored-v2,q2,3,1037
guanaco-3b-uncensored-v2,q4,1,7
guanaco-3b-uncensored-v2-xs,q2,1,60
guanaco-3b-uncensored-xs,q2,1,31
guanaco-7b-uncensored,none,2,24
guanaco-7b-uncensored,q2,2,916
guanaco-frank-jordan-13b-uncensored,q2,2,233
guanaco-frank-jordan-13b-uncensored,q8,1,2
guanaco-frank-jordan-13b-uncensored-nl,q2,1,57
h2o-danube2-1-8b-base,none,1,8
halu-8b-llama3-blackroot,none,1,7
hammer2-0-7b,none,1,5
harmful-1b-uncensored,none,1,7
harmfulproject-3-2-1b,q2,2,208
hearmemanv1max,none,1,0
hermes-3-llama-3-1-405b,none,2,3
hermes-3-llama-3-1-405b-uncensored,q2,4,310
hermes-3-llama-3-1-70b,none,2,1
hermes-3-llama-3-1-70b-uncensored,none,1,10
hermes-3-llama-3-1-70b-uncensored,q2,2,1460
hermes-3-llama-3-1-8b,none,1,2
hermes-3-llama-3-2-3b,none,4,15523
hermes-3-llama-3-2-3b-abliterated,none,2,20
hermes-3-llama-3-2-3b-abliterated,q2,2,1033
hermes-3-llama-3-2-3b-abliterated,q4,3,42
hermes-3-llama-3-2-3b-abliterated,q5,3,18
hermes-3-llama-3-2-3b-abliterated,q6,1,16
hermes-3-llama-3-2-3b-abliterated,q8,2,16
hermes-climatestorm-sauerkraut-abliterated,none,1,7
hermes-climatestorm-sauerkraut-abliterated,q2,2,288
hermes-llama3-roleplay-1000,q2,1,77
hermes-llama3-roleplay-1000-v2,q2,1,48
hermes-llama3-roleplay-1000-v3,q2,1,56
hermes-llama3-roleplay-1000-v4,q2,2,118
hermes-llama3-roleplay-1000-v5,none,1,0
hermes-llama3-roleplay-1000-v6,q2,2,101
hermes-llama3-roleplay-1000-v7,none,1,2
hermes-llama3-roleplay-1000-v7,q2,2,127
hermes-llama3-roleplay-1000-v8,none,1,1
hermes-llama3-roleplay-1000-v8,q2,2,149
hermes-llama3-roleplay-2000-v1-xs,q2,1,14
hermes-llama3-roleplay-2000-v15,q2,2,72
hermes-llama3-roleplay-2000-v2,none,1,2
hermes-llama3-roleplay-2000-v2-xs,q2,1,21
hermes-llama3-roleplay-2000-v3,q2,2,109
hermes-llama3-roleplay-2000-v4,q2,2,134
hermes-llama3-roleplay-20000-v1,none,1,5
hermes-llama3-roleplay-20000-v1-xs,q2,1,10
hermes-llama3-roleplay-3500-v1,q2,2,160
hermes-llama3-roleplay-4000-v1,none,1,3
hermes-llama3-roleplay-4000-v1,q2,2,159
hermes-llama3-roleplay-4000-v2,none,1,1
hermes-llama3-roleplay-4000-v2,q2,2,347
hermes-llama3-roleplay-4000-v3-xs,q2,1,42
hermes-llama3-roleplay-4000-v4,q2,2,81
hermes-llama3-roleplay-4000-v5,q2,2,131
hermes-llama3-roleplay-800-v1,none,1,0
hermes-llama3-roleplay-800-v1,q2,1,26
hermes-storm-climate-lorablated,none,3,23
hermes-storm-climate-sauerkraut-abliterated,q2,2,523
hermes-storm-climate-sauerkraut-abliterated,q4,1,4
hermes3-lumimaid-uncensored,q2,2,351
hidden-states,none,1,3
hidream-decensored-llama,none,1,0
hidream-i1-dev,fp8,1,0
homunculus,none,1,35
homunculus-abliterated,q2,2,1042
homunculus-abliterated,q4,2,21
homunculus-abliterated,q5,2,9
homunculus-abliterated,q6,1,5
homunculus-abliterated,q8,1,14
hrofqa,none,1,0
huatuogpt-o1-72b,q2,1,47
huatuogpt-o1-7b,q2,1,9
huatuogpt-o1-8b,q2,1,54
huatuogpt-vision-7b-qwen2-5vl,q2,1,1556
huihui-ai-abliterated-qwen2-5-32b-inst-basemerge-ties,q2,2,891
